semana,dia_semana,BOGOTA,MEDELLIN,CALI,CARTAGENA,BARRANQUILLA
1,0,70.0,56.0,52.0,10.0,6.0
1,1,79.0,103.0,72.0,16.0,6.0
1,2,103.0,129.0,56.0,16.0,10.0
1,3,85.0,86.0,78.0,1.0,16.0
1,4,78.0,75.0,63.0,15.0,15.0
1,5,120.0,119.0,61.0,17.0,11.0
1,6,109.0,139.0,94.0,13.0,15.0
2,0,37.0,54.0,44.0,6.0,7.0
2,1,81.0,117.0,76.0,17.0,15.0
2,2,82.0,107.0,55.0,14.0,10.0
2,3,79.0,77.0,60.0,13.0,12.0
2,4,94.0,104.0,62.0,18.0,10.0
2,5,69.0,86.0,64.0,24.0,13.0
2,6,60.0,79.0,48.0,8.0,9.0
3,0,75.0,95.0,74.0,14.0,9.0
3,1,67.0,103.0,62.0,25.0,18.0
3,2,80.0,102.0,56.0,13.0,16.0
3,3,85.0,100.0,69.0,17.0,16.0
3,4,92.0,111.0,59.0,13.0,20.0
3,5,106.0,93.0,71.0,21.0,5.0
3,6,70.0,70.0,55.0,11.0,4.0
4,0,78.0,112.0,83.0,10.0,7.0
4,1,84.0,85.0,81.0,15.0,4.0
4,2,91.0,102.0,64.0,16.0,13.0
4,3,79.0,102.0,50.0,16.0,9.0
4,4,87.0,119.0,67.0,15.0,14.0
4,5,115.0,112.0,77.0,18.0,11.0
4,6,86.0,72.0,43.0,13.0,7.0
5,0,35.0,65.0,51.0,7.0,3.0
5,1,80.0,102.0,75.0,24.0,9.0
5,2,91.0,101.0,89.0,19.0,19.0
5,3,36.0,46.0,17.0,17.0,5.0
5,4,72.0,67.0,50.0,16.0,13.0
5,5,112.0,107.0,58.0,14.0,10.0
5,6,103.0,126.0,80.0,,14.0
6,0,80.0,136.0,80.0,13.0,13.0
6,1,103.0,125.0,76.0,12.0,18.0
6,2,110.0,112.0,79.0,17.0,18.0
6,3,97.0,113.0,64.0,11.0,14.0
6,4,112.0,108.0,71.0,12.0,9.0
6,5,112.0,99.0,78.0,24.0,14.0
6,6,73.0,96.0,74.0,15.0,8.0
7,0,78.0,104.0,84.0,14.0,13.0
7,1,105.0,113.0,59.0,12.0,4.0
7,2,81.0,97.0,91.0,13.0,16.0
7,3,81.0,101.0,74.0,13.0,4.0
7,4,99.0,116.0,94.0,9.0,7.0
7,5,103.0,117.0,59.0,13.0,7.0
7,6,76.0,75.0,69.0,14.0,7.0
8,0,63.0,114.0,74.0,12.0,10.0
8,1,94.0,110.0,62.0,18.0,11.0
8,2,99.0,124.0,74.0,13.0,10.0
8,3,84.0,143.0,81.0,14.0,13.0
8,4,146.0,118.0,74.0,9.0,18.0
8,5,130.0,109.0,79.0,15.0,9.0
8,6,92.0,89.0,67.0,19.0,8.0
9,0,36.0,57.0,26.0,10.0,8.0
9,1,86.0,100.0,69.0,14.0,10.0
9,2,112.0,127.0,66.0,13.0,8.0
9,3,59.0,74.0,41.0,8.0,8.0
9,4,83.0,113.0,52.0,25.0,13.0
9,5,109.0,117.0,66.0,20.0,8.0
9,6,84.0,92.0,67.0,,11.0
10,0,99.0,111.0,62.0,15.0,19.0
10,1,113.0,126.0,69.0,20.0,12.0
10,2,78.0,86.0,65.0,7.0,14.0
10,3,102.0,119.0,55.0,9.0,15.0
10,4,111.0,117.0,58.0,19.0,14.0
10,5,87.0,116.0,50.0,15.0,9.0
10,6,65.0,81.0,45.0,8.0,8.0
11,0,97.0,98.0,81.0,16.0,13.0
11,1,100.0,105.0,78.0,27.0,16.0
11,2,93.0,142.0,72.0,13.0,19.0
11,3,102.0,117.0,69.0,18.0,11.0
11,4,125.0,124.0,93.0,18.0,16.0
11,5,114.0,132.0,68.0,18.0,14.0
11,6,57.0,76.0,58.0,20.0,8.0
12,0,68.0,62.0,60.0,14.0,3.0
12,1,110.0,125.0,75.0,12.0,12.0
12,2,109.0,113.0,69.0,18.0,8.0
12,3,94.0,99.0,56.0,16.0,10.0
12,4,93.0,125.0,81.0,15.0,7.0
12,5,102.0,105.0,80.0,18.0,7.0
12,6,66.0,88.0,58.0,15.0,5.0
13,0,76.0,101.0,63.0,10.0,12.0
13,1,90.0,115.0,59.0,10.0,11.0
13,2,116.0,116.0,68.0,10.0,11.0
13,3,62.0,69.0,51.0,18.0,8.0
13,4,64.0,84.0,67.0,16.0,12.0
13,5,91.0,122.0,54.0,12.0,10.0
13,6,50.0,65.0,55.0,18.0,8.0
14,0,116.0,125.0,66.0,9.0,16.0
14,1,116.0,108.0,74.0,15.0,10.0
14,2,77.0,67.0,50.0,,12.0
14,3,101.0,115.0,78.0,11.0,13.0
14,4,117.0,130.0,63.0,14.0,9.0
14,5,102.0,125.0,62.0,12.0,15.0
14,6,100.0,99.0,80.0,14.0,14.0
15,0,124.0,125.0,72.0,14.0,14.0
15,1,87.0,118.0,58.0,18.0,11.0
15,2,109.0,112.0,63.0,11.0,13.0
15,3,86.0,102.0,55.0,16.0,11.0
15,4,90.0,121.0,70.0,23.0,12.0
15,5,112.0,101.0,85.0,14.0,15.0
15,6,70.0,92.0,66.0,13.0,6.0
16,0,95.0,99.0,55.0,21.0,13.0
16,1,113.0,119.0,64.0,20.0,8.0
16,2,92.0,126.0,85.0,14.0,7.0
16,3,92.0,82.0,59.0,17.0,9.0
16,4,114.0,124.0,66.0,15.0,11.0
16,5,91.0,108.0,82.0,23.0,9.0
16,6,59.0,83.0,55.0,17.0,7.0
17,0,87.0,118.0,62.0,12.0,13.0
17,1,79.0,94.0,68.0,13.0,8.0
17,2,90.0,126.0,55.0,15.0,14.0
17,3,109.0,101.0,56.0,12.0,4.0
17,4,115.0,128.0,62.0,9.0,12.0
17,5,56.0,87.0,48.0,15.0,6.0
17,6,106.0,110.0,67.0,10.0,15.0
18,0,123.0,147.0,71.0,17.0,16.0
18,1,99.0,110.0,86.0,14.0,6.0
18,2,127.0,94.0,64.0,16.0,9.0
18,3,125.0,131.0,70.0,14.0,14.0
18,4,65.0,46.0,44.0,,10.0
18,5,90.0,99.0,74.0,17.0,9.0
18,6,71.0,77.0,33.0,18.0,9.0
19,0,104.0,110.0,70.0,10.0,13.0
19,1,93.0,133.0,76.0,13.0,16.0
19,2,75.0,97.0,53.0,7.0,7.0
19,3,97.0,96.0,52.0,13.0,17.0
19,4,116.0,120.0,76.0,12.0,12.0
19,5,114.0,122.0,71.0,19.0,12.0
19,6,77.0,72.0,52.0,20.0,4.0
20,0,79.0,63.0,44.0,8.0,5.0
20,1,106.0,100.0,68.0,14.0,12.0
20,2,131.0,113.0,66.0,13.0,12.0
20,3,115.0,133.0,61.0,14.0,12.0
20,4,94.0,93.0,58.0,13.0,13.0
20,5,89.0,101.0,57.0,29.0,15.0
20,6,78.0,58.0,56.0,7.0,12.0
21,0,97.0,100.0,44.0,23.0,15.0
21,1,107.0,112.0,61.0,13.0,8.0
21,2,111.0,111.0,60.0,18.0,14.0
21,3,112.0,95.0,65.0,15.0,14.0
21,4,126.0,93.0,75.0,13.0,9.0
21,5,113.0,96.0,56.0,18.0,7.0
21,6,73.0,66.0,34.0,6.0,6.0
22,0,109.0,127.0,61.0,15.0,13.0
22,1,52.0,77.0,45.0,18.0,9.0
22,2,110.0,102.0,74.0,15.0,11.0
22,3,96.0,124.0,80.0,16.0,11.0
22,4,95.0,100.0,77.0,11.0,14.0
22,5,97.0,115.0,63.0,8.0,12.0
22,6,82.0,82.0,75.0,16.0,14.0
23,0,91.0,100.0,53.0,1.0,20.0
23,1,96.0,147.0,63.0,7.0,11.0
23,2,94.0,130.0,72.0,15.0,14.0
23,3,87.0,107.0,83.0,17.0,17.0
23,4,101.0,133.0,67.0,10.0,11.0
23,5,117.0,146.0,67.0,13.0,15.0
23,6,60.0,70.0,60.0,17.0,8.0
24,0,65.0,67.0,37.0,10.0,13.0
24,1,106.0,85.0,68.0,6.0,9.0
24,2,95.0,106.0,60.0,12.0,9.0
24,3,101.0,88.0,63.0,18.0,8.0
24,4,108.0,117.0,80.0,15.0,14.0
24,5,97.0,103.0,51.0,14.0,13.0
24,6,69.0,65.0,41.0,9.0,9.0
25,0,73.0,89.0,55.0,14.0,13.0
25,1,90.0,99.0,65.0,9.0,12.0
25,2,106.0,110.0,62.0,18.0,9.0
25,3,80.0,104.0,70.0,12.0,13.0
25,4,94.0,127.0,64.0,11.0,12.0
25,5,122.0,99.0,85.0,10.0,15.0
25,6,70.0,94.0,63.0,14.0,6.0
26,0,86.0,88.0,67.0,15.0,18.0
26,1,99.0,93.0,61.0,10.0,14.0
26,2,72.0,102.0,62.0,3.0,9.0
26,3,60.0,72.0,47.0,15.0,13.0
26,4,61.0,95.0,46.0,13.0,8.0
26,5,89.0,100.0,58.0,11.0,6.0
26,6,65.0,87.0,51.0,11.0,10.0
27,0,115.0,149.0,76.0,30.0,18.0
27,1,49.0,57.0,51.0,10.0,13.0
27,2,90.0,79.0,55.0,4.0,11.0
27,3,67.0,85.0,53.0,13.0,12.0
27,4,95.0,119.0,65.0,13.0,7.0
27,5,106.0,132.0,36.0,25.0,13.0
27,6,74.0,93.0,61.0,19.0,8.0
28,0,107.0,166.0,67.0,15.0,7.0
28,1,105.0,101.0,57.0,10.0,6.0
28,2,71.0,108.0,69.0,20.0,11.0
28,3,86.0,118.0,68.0,11.0,15.0
28,4,107.0,128.0,63.0,18.0,15.0
28,5,125.0,123.0,71.0,15.0,12.0
28,6,55.0,75.0,64.0,14.0,9.0
29,0,101.0,139.0,64.0,16.0,14.0
29,1,58.0,59.0,49.0,4.0,5.0
29,2,74.0,101.0,60.0,9.0,15.0
29,3,94.0,91.0,64.0,5.0,9.0
29,4,102.0,104.0,79.0,11.0,13.0
29,5,111.0,124.0,59.0,15.0,17.0
29,6,79.0,79.0,45.0,9.0,5.0
30,0,82.0,115.0,69.0,11.0,9.0
30,1,80.0,112.0,64.0,21.0,8.0
30,2,90.0,110.0,68.0,17.0,14.0
30,3,90.0,114.0,59.0,11.0,9.0
30,4,94.0,143.0,72.0,8.0,13.0
30,5,113.0,131.0,64.0,21.0,14.0
30,6,76.0,107.0,60.0,12.0,8.0
31,0,93.0,88.0,84.0,13.0,15.0
31,1,93.0,122.0,69.0,24.0,7.0
31,2,88.0,84.0,48.0,10.0,16.0
31,3,112.0,130.0,73.0,21.0,12.0
31,4,108.0,108.0,73.0,27.0,13.0
31,5,110.0,94.0,61.0,3.0,8.0
31,6,68.0,81.0,54.0,17.0,9.0
32,0,97.0,127.0,66.0,15.0,13.0
32,1,117.0,132.0,92.0,14.0,12.0
32,2,88.0,135.0,73.0,19.0,16.0
32,3,77.0,90.0,56.0,10.0,7.0
32,4,98.0,119.0,69.0,15.0,11.0
32,5,108.0,132.0,64.0,13.0,14.0
32,6,65.0,80.0,43.0,11.0,8.0
33,0,53.0,77.0,42.0,13.0,9.0
33,1,99.0,112.0,68.0,19.0,12.0
33,2,92.0,123.0,60.0,10.0,17.0
33,3,92.0,93.0,73.0,17.0,9.0
33,4,89.0,106.0,84.0,10.0,13.0
33,5,96.0,115.0,74.0,22.0,14.0
33,6,87.0,76.0,52.0,1.0,4.0
34,0,90.0,114.0,62.0,19.0,12.0
34,1,91.0,116.0,57.0,20.0,9.0
34,2,117.0,119.0,52.0,18.0,9.0
34,3,105.0,100.0,57.0,18.0,12.0
34,4,99.0,129.0,64.0,23.0,11.0
34,5,114.0,99.0,62.0,14.0,7.0
34,6,62.0,71.0,52.0,10.0,14.0
35,0,84.0,116.0,81.0,7.0,11.0
35,1,79.0,107.0,76.0,10.0,19.0
35,2,59.0,78.0,48.0,15.0,10.0
35,3,91.0,110.0,46.0,19.0,22.0
35,4,99.0,115.0,91.0,13.0,18.0
35,5,116.0,148.0,69.0,10.0,13.0
35,6,87.0,93.0,64.0,13.0,8.0
36,0,117.0,115.0,50.0,21.0,10.0
36,1,83.0,100.0,54.0,10.0,14.0
36,2,93.0,115.0,77.0,9.0,8.0
36,3,108.0,110.0,64.0,21.0,14.0
36,4,88.0,103.0,102.0,16.0,11.0
36,5,111.0,102.0,68.0,9.0,11.0
36,6,97.0,125.0,61.0,14.0,15.0
37,0,82.0,106.0,72.0,12.0,10.0
37,1,97.0,126.0,60.0,22.0,11.0
37,2,97.0,114.0,62.0,19.0,12.0
37,3,86.0,121.0,56.0,19.0,10.0
37,4,108.0,116.0,73.0,21.0,8.0
37,5,119.0,118.0,69.0,16.0,14.0
37,6,80.0,91.0,68.0,8.0,8.0
38,0,117.0,105.0,72.0,17.0,16.0
38,1,78.0,104.0,59.0,19.0,11.0
38,2,91.0,102.0,72.0,17.0,20.0
38,3,82.0,101.0,59.0,9.0,11.0
38,4,85.0,107.0,76.0,12.0,9.0
38,5,91.0,111.0,68.0,17.0,14.0
38,6,72.0,73.0,43.0,11.0,6.0
39,0,86.0,109.0,65.0,18.0,10.0
39,1,96.0,112.0,76.0,15.0,16.0
39,2,102.0,112.0,65.0,16.0,12.0
39,3,101.0,124.0,58.0,11.0,9.0
39,4,50.0,45.0,41.0,10.0,8.0
39,5,93.0,101.0,82.0,18.0,18.0
39,6,96.0,108.0,80.0,17.0,13.0
40,0,128.0,118.0,57.0,17.0,10.0
40,1,100.0,105.0,60.0,12.0,15.0
40,2,88.0,119.0,68.0,21.0,8.0
40,3,101.0,98.0,67.0,9.0,11.0
40,4,84.0,86.0,52.0,21.0,7.0
40,5,87.0,99.0,65.0,15.0,15.0
40,6,66.0,89.0,72.0,11.0,10.0
41,0,97.0,114.0,68.0,11.0,12.0
41,1,116.0,132.0,57.0,10.0,19.0
41,2,96.0,117.0,67.0,8.0,12.0
41,3,79.0,109.0,60.0,20.0,7.0
41,4,91.0,131.0,79.0,19.0,17.0
41,5,90.0,114.0,67.0,11.0,10.0
41,6,61.0,70.0,58.0,10.0,15.0
42,0,47.0,67.0,40.0,10.0,8.0
42,1,103.0,112.0,67.0,15.0,10.0
42,2,86.0,123.0,64.0,14.0,15.0
42,3,86.0,121.0,68.0,18.0,14.0
42,4,103.0,127.0,77.0,14.0,11.0
42,5,89.0,153.0,68.0,27.0,13.0
42,6,55.0,84.0,58.0,8.0,6.0
43,0,96.0,107.0,74.0,12.0,10.0
43,1,107.0,119.0,60.0,15.0,8.0
43,2,100.0,130.0,67.0,14.0,11.0
43,3,95.0,139.0,71.0,16.0,15.0
43,4,121.0,138.0,73.0,12.0,10.0
43,5,120.0,127.0,75.0,18.0,16.0
43,6,80.0,115.0,73.0,16.0,10.0
44,0,37.0,48.0,41.0,9.0,5.0
44,1,83.0,100.0,73.0,19.0,11.0
44,2,102.0,121.0,72.0,12.0,12.0
44,3,59.0,79.0,48.0,17.0,4.0
44,4,114.0,102.0,58.0,19.0,8.0
44,5,81.0,118.0,68.0,14.0,12.0
44,6,75.0,78.0,55.0,11.0,10.0
45,0,96.0,98.0,72.0,12.0,8.0
45,1,89.0,142.0,82.0,20.0,13.0
45,2,95.0,116.0,65.0,15.0,13.0
45,3,89.0,107.0,61.0,16.0,16.0
45,4,111.0,112.0,72.0,13.0,13.0
45,5,112.0,120.0,82.0,9.0,16.0
45,6,74.0,86.0,55.0,8.0,7.0
46,0,63.0,90.0,42.0,7.0,6.0
46,1,122.0,139.0,49.0,5.0,16.0
46,2,82.0,106.0,60.0,16.0,17.0
46,3,84.0,120.0,71.0,12.0,9.0
46,4,100.0,124.0,65.0,18.0,19.0
46,5,98.0,121.0,60.0,13.0,8.0
46,6,55.0,88.0,61.0,7.0,8.0
47,0,87.0,113.0,63.0,13.0,7.0
47,1,98.0,120.0,65.0,15.0,15.0
47,2,85.0,101.0,76.0,13.0,14.0
47,3,112.0,127.0,66.0,16.0,16.0
47,4,117.0,141.0,77.0,9.0,17.0
47,5,134.0,120.0,78.0,19.0,19.0
47,6,58.0,76.0,50.0,9.0,15.0
48,0,102.0,124.0,71.0,23.0,10.0
48,1,96.0,158.0,63.0,13.0,13.0
48,2,115.0,96.0,70.0,21.0,14.0
48,3,101.0,139.0,82.0,17.0,10.0
48,4,116.0,130.0,88.0,9.0,16.0
48,5,78.0,97.0,68.0,20.0,5.0
48,6,109.0,80.0,64.0,16.0,7.0
49,0,93.0,97.0,66.0,24.0,6.0
49,1,84.0,103.0,65.0,15.0,4.0
49,2,88.0,106.0,56.0,18.0,6.0
49,3,68.0,88.0,49.0,12.0,11.0
49,4,76.0,96.0,82.0,24.0,11.0
49,5,96.0,151.0,70.0,13.0,16.0
49,6,65.0,88.0,51.0,8.0,5.0
50,0,100.0,113.0,68.0,16.0,15.0
50,1,102.0,123.0,63.0,16.0,10.0
50,2,117.0,118.0,76.0,12.0,10.0
50,3,120.0,103.0,61.0,17.0,6.0
50,4,102.0,138.0,79.0,17.0,8.0
50,5,114.0,116.0,62.0,13.0,18.0
50,6,82.0,85.0,56.0,22.0,11.0
51,0,91.0,123.0,83.0,23.0,11.0
51,1,93.0,121.0,66.0,14.0,17.0
51,2,97.0,141.0,69.0,21.0,15.0
51,3,97.0,136.0,78.0,12.0,13.0
51,4,95.0,109.0,57.0,12.0,14.0
51,5,49.0,94.0,51.0,14.0,9.0
51,6,47.0,73.0,41.0,13.0,4.0
52,0,77.0,105.0,55.0,14.0,6.0
52,1,80.0,107.0,57.0,18.0,7.0
52,2,79.0,87.0,69.0,14.0,11.0
52,3,72.0,84.0,59.0,17.0,11.0
52,4,80.0,92.0,63.0,12.0,10.0
53,4,32.0,78.0,63.0,10.0,7.0
53,5,123.0,121.0,90.0,22.0,7.0
53,6,87.0,116.0,63.0,21.0,9.0
